Gene symbol,Description,Astrocytes,Neuron,Oligodendrocyte Precursor Cell,Newly Formed Oligodendrocyte,Myelinating Oligodendrocytes,Microglia,Endothelial Cells
0610043K17Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0910001L09Rik,,12.3,21.2,27.7,31.2,32.3,54.8,25.7
1100001G20Rik,,0.1,0.1,0.1,0.1,0.1,0.7,0.1
1110001A16Rik,,2.6,4.7,5.8,4.6,3.5,8.9,10.1
1110001J03Rik,UPF0562 protein C7orf55 homolog,16.7,19.6,26.8,13.8,10.2,7.3,17.4
1110002B05Rik,,29.4,23.6,53.6,55.6,58.3,19.9,117.5
1110002L01Rik,,0.6,1.4,0.9,1.0,0.4,0.2,0.2
1110002N22Rik,,2.6,1.2,1.4,1.0,0.8,2.1,2.0
1110003E01Rik,,12.5,30.1,28.9,33.6,43.3,24.0,30.0
1110004E09Rik,UPF0769 protein C21orf59 homolog,5.8,9.5,12.3,7.2,4.6,2.7,11.7
1110004F10Rik,Small acidic protein,22.9,48.2,42.2,42.0,23.7,12.5,35.2
1110005A03Rik,,4.9,5.0,7.3,6.9,6.6,4.6,6.0
1110006O24Rik,,1.0,0.2,0.6,1.1,0.9,0.5,0.6
1110007C09Rik,Bcl10-interacting CARD protein,6.9,9.1,6.0,51.2,86.2,101.6,31.2
1110008F13Rik,Uncharacterized protein C20orf24 homolog,44.0,35.2,43.9,39.6,38.8,51.6,53.9
1110008J03Rik,,6.5,8.0,7.4,5.4,3.3,2.7,3.4
1110008L16Rik,Mitochondrial ribonuclease P protein 3,2.8,1.5,2.2,2.3,0.9,0.8,4.6
1110008P14Rik,UPF0184 protein C9orf16 homolog,6.7,20.3,13.1,16.6,26.2,9.8,10.4
1110012D08Rik,,29.6,4.0,15.6,12.7,9.5,11.8,20.9
1110012J17Rik,,2.9,17.1,6.4,1.9,0.7,0.2,3.5
1110012L19Rik,Uncharacterized protein CXorf40 homolog,4.8,5.7,6.2,5.9,6.2,2.8,11.2
1110014N23Rik,,14.5,18.3,16.1,12.8,9.9,22.4,10.3
1110017D15Rik,Spermatid-specific manchette-related protein 1,1.6,1.2,0.6,0.3,0.2,0.7,0.4
1110017F19Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1110018G07Rik,,15.1,13.3,18.9,18.9,12.8,8.4,5.4
1110018J18Rik,,3.5,1.3,8.5,8.1,4.3,4.8,25.7
1110020A21Rik,,0.7,0.8,1.0,0.4,0.7,0.1,1.6
1110020G09Rik,,28.9,6.3,9.9,5.0,3.7,1.8,4.9
1110021J02Rik,,5.5,7.1,7.1,6.9,4.8,2.4,5.2
1110021L09Rik,,11.9,5.0,10.6,2.9,0.4,1.7,2.4
1110028C15Rik,,5.9,3.1,3.9,1.6,0.5,2.3,6.2
1110031I02Rik,,6.7,4.5,8.9,5.9,6.7,5.1,8.1
1110032A03Rik,UPF0686 protein C11orf1 homolog,3.2,3.4,5.4,8.4,15.1,4.1,5.3
1110032A04Rik,,0.4,0.3,0.1,0.1,0.1,0.1,0.1
1110032F04Rik,Uncharacterized membrane protein C3orf80 homolog,3.6,1.0,2.2,0.4,0.2,0.1,0.1
1110034A24Rik,,2.3,3.7,3.4,2.4,1.8,1.2,1.8
1110034B05Rik,,8.0,5.8,8.4,4.0,2.3,0.8,3.6
1110034G24Rik,Uncharacterized protein C20orf196 homolog,5.2,2.9,5.3,3.0,2.3,4.8,30.6
1110036E04Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1110037F02Rik,Protein virilizer homolog,7.1,4.7,6.0,4.1,1.1,2.1,10.7
1110038B12Rik,,6.3,8.0,7.6,8.8,2.1,6.8,13.5
1110038D17Rik,,6.5,3.2,3.8,3.3,2.6,6.2,5.1
1110038F14Rik,UPF0488 protein C8orf33 homolog,13.6,7.3,17.6,10.6,6.9,6.9,13.9
1110046J04Rik,,0.1,0.5,0.3,0.8,1.1,0.1,0.2
1110049F12Rik,,9.2,24.2,24.5,22.8,34.9,25.5,12.7
1110051M20Rik,UPF0705 protein C11orf49 homolog,8.4,18.9,17.9,14.8,13.4,4.4,5.1
1110054M08Rik,,6.2,1.3,3.2,0.6,0.4,2.3,3.7
1110054O05Rik,,2.0,2.7,4.6,4.1,2.3,3.6,1.5
1110057K04Rik,UPF0554 protein C2orf43 homolog,11.0,9.1,21.2,35.5,43.1,11.4,6.6
1110058L19Rik,UPF0369 protein C6orf57 homolog,7.0,13.3,14.6,12.5,9.8,6.6,15.2
1110059E24Rik,Uncharacterized protein C9orf85 homolog,9.3,5.9,9.7,5.3,4.0,3.0,15.4
1110059G10Rik,Uncharacterized protein KIAA1143 homolog,1.7,2.0,2.6,1.3,1.3,0.8,3.8
1110059M19Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1110065P20Rik,Uncharacterized protein C1orf122 homolog,17.6,28.5,27.7,30.4,45.1,13.8,24.7
1110067D22Rik,,22.3,15.5,26.9,6.3,1.3,0.8,7.0
1190002F15Rik,,0.1,0.1,0.6,0.1,0.1,0.1,0.2
1190002H23Rik,,73.4,5.3,96.5,24.6,2.9,2.9,73.3
1190002N15Rik,Deleted in autism protein 1 homolog,4.9,20.0,9.9,12.3,4.8,1.3,2.4
1190003J15Rik,,0.2,0.1,0.1,0.1,0.1,0.1,0.1
1190003K10Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1190005F20Rik,,6.9,3.0,5.5,2.9,1.2,2.8,2.8
1190005I06Rik,Uncharacterized protein C16orf74 homolog,3.3,2.6,1.1,1.5,3.7,1.3,0.3
1190007F08Rik,,0.5,1.7,2.0,8.5,20.7,5.0,0.3
1190007I07Rik,Uncharacterized protein C12orf73 homolog,1.0,1.1,1.4,0.5,0.8,1.5,3.0
1200009I06Rik,,0.5,0.1,0.2,0.1,0.1,0.5,2.5
1200011I18Rik,,2.7,5.9,3.5,3.2,1.7,1.8,5.6
1200011M11Rik,,5.1,5.3,6.0,4.2,1.9,4.9,3.3
1200014J11Rik,Uncharacterized protein C17orf85 homolog,4.3,3.2,4.5,2.5,1.1,5.8,5.8
1200016B10Rik,,4.2,1.3,2.7,2.0,0.8,0.8,5.4
1300001I01Rik,,22.3,9.5,8.3,5.8,3.4,11.5,3.6
1300002E11Rik,,5.9,3.0,4.9,3.1,3.0,0.8,5.5
1300002K09Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1300010F03Rik,,15.6,3.0,7.4,5.2,2.3,1.8,7.3
1300014I06Rik,,3.0,2.5,33.6,26.0,1.7,9.1,15.4
1300015D01Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1300017J02Rik,Inhibitor of carbonic anhydrase,0.1,0.1,0.1,0.2,0.1,0.1,0.1
1300018I17Rik,,9.7,15.2,13.1,8.8,6.2,19.7,3.9
1300018J18Rik,,8.2,6.7,10.3,12.0,10.9,8.8,9.7
1500001M20Rik,,2.6,4.2,4.2,2.1,1.4,2.7,5.2
1500002O10Rik,,2.1,0.1,0.1,0.1,0.1,0.1,0.2
1500002O20Rik,,9.1,10.7,10.9,9.3,9.3,25.6,8.7
1500003O03Rik,,17.8,21.4,22.3,21.7,19.4,13.9,28.7
1500004A13Rik,,1.0,1.1,0.9,0.6,0.5,0.1,0.1
1500009C09Rik,,25.5,12.7,31.5,12.4,6.5,2.8,0.6
1500009L16Rik,Overexpressed in colon carcinoma 1 protein homolog,2.0,29.8,5.9,1.2,0.9,0.4,0.9
1500010J02Rik,,9.3,13.0,11.7,4.8,3.3,24.1,4.2
1500011B03Rik,,5.1,25.3,5.4,17.7,20.8,3.1,8.3
1500011H22Rik,,9.6,22.6,20.5,11.5,8.0,3.0,14.8
1500011K16Rik,,1.8,0.8,0.1,1.3,2.0,1.3,0.1
1500012F01Rik,,17.9,63.9,24.5,20.2,22.4,23.1,59.7
1500015A07Rik,,2.7,6.0,4.7,3.7,4.4,3.3,1.6
1500015O10Rik,Augurin,0.2,0.2,0.1,0.1,0.1,0.1,0.6
1500016L03Rik,,0.1,23.3,0.1,0.1,0.1,0.1,0.1
1500017E21Rik,,0.5,0.2,0.1,0.1,0.1,0.1,0.1
1500031L02Rik,,5.4,8.5,9.2,4.5,2.8,1.1,5.5
1500032L24Rik,,40.9,60.1,83.2,109.1,129.5,68.8,92.5
1520402A15Rik,,6.0,2.0,2.5,0.8,1.0,0.5,0.3
1600002D24Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600002H07Rik,Uncharacterized protein C16orf59 homolog,2.6,3.0,2.6,1.5,1.2,1.4,1.6
1600002K03Rik,Uncharacterized membrane protein C19orf24 homolog,3.0,1.8,4.5,3.8,3.6,8.0,1.9
1600010M07Rik,,0.1,0.1,0.2,0.1,0.1,1.3,0.1
1600012F09Rik,,4.6,3.3,5.4,5.0,2.4,1.7,2.4
1600012H06Rik,UPF0669 protein C6orf120 homolog,12.6,8.2,8.4,8.1,8.0,4.5,6.4
1600014C10Rik,Protein C19orf12 homolog,1.5,3.7,3.2,2.8,1.2,8.1,4.7
1600014C23Rik,,1.4,0.1,0.3,0.1,0.1,0.1,0.1
1600014K23Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600015I10Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600016N20Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600019K03Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600020E01Rik,,15.8,8.4,9.6,5.3,3.9,6.0,9.8
1600021P15Rik,,5.5,9.9,25.8,15.0,3.5,0.6,2.2
1600025M17Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600027N09Rik,,5.9,4.6,6.0,5.2,1.5,3.8,5.5
1600029D21Rik,,0.1,0.1,0.1,0.1,0.1,0.3,0.1
1600029I14Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600029O15Rik,,0.1,1.2,0.1,0.1,0.1,0.1,0.1
1700001C02Rik,UPF0573 protein C2orf70 homolog,0.2,0.1,0.1,0.1,0.1,0.1,0.1
1700001C19Rik,,0.1,0.1,0.1,0.1,0.1,0.9,1.4
1700001F09Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700001G11Rik,,0.2,0.3,0.3,0.2,0.2,0.1,0.2
1700001G17Rik,,0.2,0.4,0.8,0.2,0.2,0.1,0.3
1700001J03Rik,,0.3,0.1,0.1,0.1,0.1,0.1,0.1
1700001J11Rik,,0.2,0.2,0.1,0.2,0.1,0.1,0.5
1700001K19Rik,,0.1,0.2,0.1,0.1,0.1,0.1,0.1
1700001K23Rik,,0.1,1.2,0.1,0.1,0.1,0.4,0.2
1700001L05Rik,,0.1,0.5,0.1,0.1,0.1,0.7,0.1
1700001L19Rik,Uncharacterized protein C5orf49 homolog,0.2,1.5,0.5,0.1,0.2,0.1,0.1
1700001O22Rik,,2.1,0.7,3.3,0.8,0.7,0.3,0.8
1700001P01Rik,Uncharacterized protein C17orf98 homolog,0.1,0.2,0.1,3.2,3.2,0.1,0.3
1700003E16Rik,Uncharacterized protein C2orf81 homolog,0.4,2.4,1.2,0.4,1.2,1.7,0.1
1700003F12Rik,,0.5,0.3,0.3,0.1,0.1,6.0,0.2
1700003G13Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700003G18Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700003H04Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700003L19Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700003M02Rik,UPF0704 protein C6orf165 homolog,0.6,0.3,0.1,0.1,0.1,0.1,0.4
1700003M07Rik,,5.3,0.5,1.6,0.3,0.2,0.1,0.1
1700006A11Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700006E09Rik,Uncharacterized protein C17orf105 homolog,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700007B14Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700007E06Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700007F19Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700007G11Rik,Uncharacterized protein C4orf22 homolog,0.4,0.1,0.2,0.2,0.1,0.1,0.1
1700007I08Rik,,0.2,0.1,0.1,0.1,0.1,0.1,0.1
1700007K09Rik,Protein FAM24A-like,0.7,0.2,0.1,0.2,0.1,0.2,0.1
1700007K13Rik,UPF0691 protein C9orf116 homolog,2.3,0.4,0.2,0.1,0.2,0.1,0.3
1700007P06Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700008A04Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700008F21Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700008I05Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700008J07Rik,,0.3,0.4,0.5,0.2,0.2,0.2,0.1
1700008K24Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700008O03Rik,Putative uncharacterized protein C19orf81 homolog,0.2,0.6,0.2,0.4,0.4,0.1,0.1
1700008P02Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700008P20Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700009J07Rik,,0.1,0.1,0.1,0.1,0.1,0.2,0.1
1700009N14Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700009P17Rik,UPF0740 protein C1orf192 homolog,0.7,0.1,0.1,0.1,0.2,0.6,0.6
1700010B08Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700010D01Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700010I02Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700010I14Rik,,1.5,0.5,0.8,0.6,0.6,0.4,0.4
1700010J16Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700010K23Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700010M22Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700011A15Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700011E24Rik,Uncharacterized protein C2orf61 homolog,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700011F03Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700011F14Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700011H14Rik,Uncharacterized protein C14orf105 homolog,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700011I03Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700011L22Rik,Uncharacterized protein C4orf51 homolog,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700011M02Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700012A03Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700012A16Rik,,0.1,0.6,0.2,0.6,0.3,0.1,0.1
1700012B07Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700012B09Rik,,0.4,0.1,0.1,0.1,0.1,0.1,0.1
1700012B15Rik,,9.6,11.7,10.6,9.7,8.3,14.0,8.2
1700012D14Rik,,0.5,0.5,0.4,0.3,0.3,0.1,0.1
1700012L04Rik,Histone H2A,0.2,0.1,0.1,0.1,0.1,0.1,0.2
1700012P22Rik,Uncharacterized protein C1orf158 homolog,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700013D24Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700013F07Rik,Uncharacterized protein C1orf194 homolog,0.1,0.3,0.1,0.1,0.1,0.1,0.1
1700013G24Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700013H16Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700013N18Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700014N06Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700015E13Rik,Uncharacterized protein C1orf111 homolog,0.2,0.1,0.1,0.1,0.1,0.1,0.1
1700015F17Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700015G11Rik,Coiled-coil domain-containing protein 179,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700016C15Rik,Uncharacterized protein C1orf100 homolog,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700016D06Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700016H13Rik,Uncharacterized protein C4orf36 homolog,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700016K19Rik,Uncharacterized protein C17orf97 homolog,0.3,0.3,0.2,0.1,0.2,0.2,0.4
1700016L21Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700016M24Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700016P04Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700017B05Rik,Uncharacterized protein C15orf39 homolog,3.7,0.9,3.8,0.9,0.5,74.5,7.8
1700017D01Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700017G19Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700017J07Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700017N19Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700018A04Rik,,0.1,0.1,0.1,0.1,0.1,0.1,1.2
1700018A14Rik,,0.1,0.2,0.1,0.1,0.1,0.1,0.1
1700018B08Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700018B24Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700018C11Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700018F24Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700018L02Rik,,1.6,0.8,1.2,1.3,1.6,0.4,1.5
1700018L24Rik,,0.1,0.2,0.1,0.1,0.1,0.1,0.1
1700019A02Rik,,0.1,0.1,0.2,0.1,0.1,0.1,0.1
1700019B03Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700019D03Rik,Small membrane A-kinase anchor protein,0.5,1.0,4.3,1.1,0.6,0.1,0.2
1700019E08Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700019E19Rik,,6.6,3.6,6.9,11.6,10.5,1.3,11.6
1700019G17Rik,,6.8,0.7,2.6,0.9,1.0,0.3,0.9
1700019G24Rik,,0.3,0.1,0.1,0.1,0.1,0.1,0.1
1700019L03Rik,Uncharacterized protein C9orf117 homolog,0.2,0.1,0.1,0.1,0.1,0.1,0.1
1700019M22Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700019N12Rik,,0.3,0.2,0.1,0.1,0.2,0.7,0.3
1700019N19Rik,Uncharacterized protein C10orf82 homolog,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700019O17Rik,Uncharacterized protein C2orf57 homolog,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700020A23Rik,,0.1,0.4,0.1,0.3,0.1,0.1,0.1
1700020C07Rik,,0.1,0.1,0.2,0.1,0.1,0.1,1.2
1700020D05Rik,,0.9,0.6,0.6,0.3,0.1,0.3,0.1
1700020I14Rik,,14.2,33.1,15.9,8.6,4.4,1.9,17.5
1700020L24Rik,Uncharacterized protein C17orf50 homolog,0.2,0.1,0.9,0.5,1.2,2.9,8.0
1700020M21Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700020N01Rik,,0.1,0.1,0.1,0.1,0.1,0.3,0.1
1700020N18Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700020O03Rik,,4.7,5.7,6.6,7.1,6.0,8.7,4.5
1700021C14Rik,,2.7,1.7,0.9,2.0,3.4,2.1,2.5
1700021F05Rik,Uncharacterized protein C6orf203 homolog,6.6,7.8,6.8,4.0,3.6,2.3,3.1
1700021F07Rik,Uncharacterized protein C20orf85 homolog,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700021K19Rik,Run domain Beclin-1 interacting and cysteine-rich containing protein,5.8,12.3,15.5,33.4,22.3,8.9,6.1
1700022A21Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700022E09Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700022I11Rik,Uncharacterized protein C9orf131 homolog,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700022P22Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700023A16Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.2
1700023E05Rik,Testicular haploid expressed gene protein-like,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700023F02Rik,,0.1,0.2,0.1,0.1,0.1,0.1,0.1
1700023I07Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700023L04Rik,,0.3,0.1,0.1,0.1,0.1,0.2,0.4
1700024G13Rik,UPF0728 protein C10orf53 homolog,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700024P03Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700024P04Rik,Histone H2B subacrosomal variant,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700024P16Rik,Uncharacterized protein C1orf168 homolog,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700025B11Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700025C18Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700025E21Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700025F22Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700025F24Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700025G04Rik,Uncharacterized protein C1orf21 homolog,3.6,4.3,14.3,5.9,1.6,0.5,0.3
1700025K23Rik,,4.3,7.0,7.6,5.9,5.8,0.7,2.9
1700025M24Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700025N23Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700026D08Rik,Uncharacterized protein C15orf26 homolog,0.4,0.1,0.1,0.1,0.1,0.1,0.1
1700026D11Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700026J04Rik,,0.3,0.1,0.1,0.1,0.1,0.1,1.0
1700026L06Rik,Uncharacterized protein C9orf9 homolog,0.1,0.1,0.1,0.1,0.1,0.2,0.1
1700027A15Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700027A23Rik,,0.8,0.1,0.1,0.1,0.1,0.1,0.2
1700027D21Rik,,0.2,0.1,0.1,0.1,0.1,0.1,0.1
1700027F09Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700027H10Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700027I24Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700027J07Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700027L20Rik,,102.4,2.4,14.3,0.4,4.4,4.7,0.1
1700028B04Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700028I16Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700028J19Rik,,0.2,0.5,1.1,0.9,0.4,0.6,0.4
1700028K03Rik,Uncharacterized protein C1orf146 homolog,1.2,0.7,0.4,0.2,0.1,0.1,0.1
1700028M03Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700028P14Rik,Uncharacterized protein C9orf135 homolog,0.3,0.1,0.1,0.1,0.1,0.1,0.1
1700028P15Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700029B22Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700029F09Rik,,3.5,4.9,5.8,2.7,1.1,2.0,12.4
1700029F12Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700029G01Rik,,1.3,0.6,0.2,0.1,0.1,0.8,3.3
1700029H14Rik,,0.2,0.1,0.1,0.1,0.1,0.1,0.1
1700029I15Rik,Uncharacterized protein C11orf94 homolog,0.7,0.5,0.7,0.2,0.1,0.4,0.1
1700029J03Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700029J07Rik,UPF0602 protein C4orf47 homolog,1.8,1.8,0.9,0.8,0.4,0.2,0.2
1700029J11Rik,,0.1,0.6,0.1,0.3,0.1,0.3,0.4
1700029M20Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700029P11Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700030C10Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700030F18Rik,Protein FAM186A,0.1,0.1,0.1,0.1,0.2,0.1,0.1
1700030J22Rik,Uncharacterized protein C16orf46 homolog,0.3,0.9,0.3,0.5,0.2,0.1,0.2
1700030K09Rik,Uncharacterized protein C19orf44 homolog,3.4,1.8,3.6,2.6,1.3,1.3,2.1
1700030L20Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700031F05Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700031M16Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700034E13Rik,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1700034F02Rik,Clathrin heavy chain linker domain-containing protein 1,0.3,0.1,0.2,0.2,0.2,0.1,0.1
