,MouseGene Symbol,Mouse.7Description,X.8Myeloid Activation (Fine),X.9Myeloid Activation (Coarse),X.10Immune-Specific,adjP-PS2APP,lfc-PS2APP,adjP-7-13months-1,lfc-7-13months-1,adjP-7-13months-2,lfc-7-13months-2,adjP-WT-5xFAD,lfc-WT-5xFAD,adjP-Trem2KO-5xFAD,lfc-Trem2KO-5xFAD,adjP-Trem2KOvWT,lfc-Trem2KOvWT,adjP-Trem2KOvWT-5xFAD,lfc-Trem2KOvWT-5xFAD,adjP-APPswe/PS1dE9,lfc-APPswe/PS1dE9,adjP-hMAPT-P301L,lfc-hMAPT-P301L,adjP-X6.2hMAPT-P301S,lfc-X6.2hMAPT-P301S,adjP-hSOD1-G93A-d65,lfc-hSOD1-G93A-d65,adjP-hSOD1-G93A-d100,lfc-hSOD1-G93A-d100,adjP-2MFP2ko,lfc-2MFP2ko,adjP-transischemia,lfc-transischemia,adjP-4wkcuprizoneWT,lfc-4wkcuprizoneWT,adjP-12wkcuprizoneWT,lfc-12wkcuprizoneWT,adjP-4wkcuprizoneTrem2KO,lfc-4wkcuprizoneTrem2KO,adjP-12wkcuprizoneTrem2KO,lfc-12wkcuprizoneTrem2KO,adjP-LPS,lfc-LPS,adjP-LPSmogene,lfc-LPSmogene,adjP-LCMV,lfc-LCMV,adjP-GBM,lfc-GBM,adjP-GBM-CSF1Rblock,lfc-GBM-CSF1Rblock,adjP-repop-MG,lfc-repop-MG,adjP-infiltrating-MG,lfc-infiltrating-MG,adjP-22Mvs4-12M-Cb,lfc-22Mvs4-12M-Cb,adjP-22Mvs4-12M-Ctx,lfc-22Mvs4-12M-Ctx,adjP-22Mvs4-12M-Hp,lfc-22Mvs4-12M-Hp,adjP-22Mvs4-12M-Str,lfc-22Mvs4-12M-Str,adjP-PS2APP-13months,lfc-PS2APP-13months,adjP- SOD1G93A-D28,lfc- SOD1G93A-D28,adjP- SOD1G93A-D42,lfc- SOD1G93A-D42,adjP- SOD1G93A-D56,lfc- SOD1G93A-D56,adjP- SOD1G93A-D70,lfc- SOD1G93A-D70,adjP- SOD1G93A-D98,lfc- SOD1G93A-D98,adjP- SOD1G93A-D112,lfc- SOD1G93A-D112,adjP- SOD1G93A-D126,lfc- SOD1G93A-D126,adjP-AD-fusiform,lfc-AD-fusiform,adjP-AD-temp,lfc-AD-temp,adjP-ALS,lfc-ALS,adjP-ALS-MN,lfc-ALS-MN,adjP-FTDprogranulin,lfc-FTDprogranulin,adjP-HD,lfc-HD
12,Rtn1,reticulon 1,7,,,0.008682,-0.6679,0.8632,-0.3502,0.7018,0.2082,0.669,-1.204,0.8419,0.7659,0.9623,-1.385,0.8431,0.5857,0.00001569,-0.8117,0.7561,-0.3204,0.4138,-0.7778,0.8238,0.1785,0.007171,-0.8546,0.9425,-0.186,0.502,0.5299,0.8952,1.239,0.3853,2.36,0.9992,-0.12,0.4364,1.954,0.00007322,-1.017,0.8045,0.6637,0.8744,-0.4569,0.004763,-3.364,0.01609,-0.9677,0.6652,-0.2793,0.01332,-0.4783,0.4759,-0.1945,0.9561,-0.02361,0.9067,-0.03155,0.9807,-0.01233,0.4534,-0.1106,0.5312,-0.3049,0.9421,-0.03364,0.1779,-0.9064,0.6802,-0.3695,0.792,-0.08703,0.377,-0.2123,0.04838,-0.4759,0.0001349,-0.6292,1.77E-10,-1.01,0.9976,0.03633,0.854,-0.2766,0.008268,-2.278,0.0001843,-0.5266
13,Itga9,integrin alpha 9,4,,,0.033,-0.5783,0.4679,-0.4221,0.07902,-0.6156,0.1686,-1.981,0.8279,0.8444,0.9114,-1.61,0.5226,1.215,0.00002821,-0.95,0.5296,-0.4323,0.01084,-1.323,0.3216,-0.3742,0.006173,-1.074,0.04048,-1.995,0.4786,0.8888,0.9689,0.4085,0.5115,-3.163,0.9992,0.1598,0.6075,-1.678,0.7765,-0.1376,0.6241,-0.7127,0.278,-1.825,0.1069,-1.325,0.002225,-1.091,0.9935,0.008429,0.0002501,0.696,0.0319,-0.6342,0.2545,-0.3265,0.07203,-0.5445,0.2093,-0.4088,0.6516,-0.107,0.331,0.2582,0.8466,-0.0587,0.4458,0.2864,0.8989,0.1027,0.5502,-0.1439,0.1216,-0.3455,0.8731,-0.03305,0.6847,0.04988,0.001299,-0.183,0.9799,-0.1512,0.9443,-0.1359,0.8387,-0.04165,0.3972,0.04706
14,Slc16a6,"solute carrier family 16 (monocarboxylic acid transporters), member 6",3,,,0.7974,-0.1554,0.9992,-0.1056,0.5151,-0.397,0.3142,0.6737,0.8229,0.4018,0.9991,0.1529,0.9516,-0.1189,0.00004914,-0.7198,0.7425,-0.2604,0.1004,-0.5526,0.1253,-0.4407,0.000002705,-0.8646,0.5082,-0.4645,0.2238,-0.749,0.9848,0.2976,0.6321,-0.6422,0.9994,0.006252,0.4967,-0.9719,0.0003227,-1,0.5884,1.143,0.4848,0.934,0.01006,-0.9802,0.1896,-0.4053,0.4479,-0.3026,0.000000839,-1.126,0.03205,-0.3977,0.3622,-0.177,0.1154,-0.2662,0.1574,-0.2738,0.06737,0.3136,0.7166,-0.09561,0.2719,0.3404,0.9239,-0.0408,0.9682,0.0363,0.9962,-0.006243,0.4684,0.08417,0.507,-0.1129,0.0008911,-0.5543,0.1836,0.1085,0.9797,0.241,0.8488,0.5312,0.558,-0.2662,0.8093,-0.04267
15,Golm1,golgi membrane protein 1,6,Microglia,,0.2372,-0.3003,0.9992,-0.2058,0.8286,0.1056,0.3503,-0.7298,0.8594,-0.2615,0.9991,-0.09977,0.7594,0.3685,0.000002623,-0.795,0.8368,-0.1962,0.2696,-0.4038,0.05337,-0.4245,0.07436,-0.376,0.06605,-0.8249,0.9659,-0.04369,0.9917,-0.2148,0.4087,-1.495,0.9992,0.09073,0.5384,-0.8626,1.85E-17,-2.179,0.7912,-0.4095,0.8634,-0.2698,0.001373,-2.59,0.01572,-0.7987,0.7859,-0.222,1.49E-07,-1.223,0.08935,-0.4134,0.1563,-0.2232,0.09223,-0.2901,0.08127,-0.2903,0.00002301,0.5733,0.1632,0.3774,0.9949,-0.003231,0.604,0.1917,0.6732,0.2572,0.02279,0.5905,0.000163,1.253,0.0003419,1.531,0.8183,0.01705,0.365,0.09259,0.8115,0.6701,0.5678,0.5687,0.04169,0.3916,0.00008617,0.416
16,Prickle1,prickle homolog 1 (Drosophila),30,,,0.9377,0.09997,0.9992,0.2337,0.1495,0.8934,0.9967,-0.02155,0.6161,-1.231,0.9991,-0.02985,0.4744,-1.239,0.000004449,1.143,0.9598,-0.1018,0.2387,2.151,0.8673,0.1841,0.4826,0.6112,0.5191,0.6055,0.6339,0.3915,0.9848,-0.2607,0.6179,-1.055,0.9992,0.1993,0.4409,-1.518,0.004917,1.844,0.9238,0.2146,0.9682,-0.1238,0.02484,-1.295,0.00719,1.212,0.4572,-0.8007,1,0,0.06004,-0.5554,0.03465,-0.6171,0.01672,-0.6568,0.03837,-0.5733,0.259,0.2092,0.2642,0.3855,0.9918,0.005076,0.783,0.1405,0.8961,0.1154,0.643,0.1366,0.9376,-0.01404,0.2672,-0.3673,0.001165,-0.4845,0.7678,-0.04534,0.9673,0.3316,0.979,0.05237,,,0.000009425,-0.4318
17,Tcf19,transcription factor 19,26,Proliferation,LCMV-Specific,0.6389,0.6582,0.985,-0.5517,0.8495,0.2831,0.4568,0.7396,0.9792,0.08841,0.9991,-0.3412,0.3598,-0.9924,0.3334,0.09712,1,0,1,0,1,0,1,0,0.3342,1.023,0.01866,2.363,0.9037,-0.7019,0.8655,-0.2532,0.9992,-0.06786,0.7686,0.4761,0.05439,2.239,0.908,-0.1566,0.00006559,3.476,0.01892,1.664,0.0004198,-1.213,0.5898,-0.3617,0.00001976,2.015,0.001318,0.8946,0.0005964,0.8019,0.02799,0.673,0.01224,0.9201,0.8946,0.05695,0.8957,0.05049,0.9622,-0.02226,0.5538,0.2825,0.911,0.08171,0.7186,-0.08627,0.7205,0.05166,0.1727,-0.1966,0.0003212,0.4267,0.0311,0.142,0.7762,0.7945,0.2987,0.9376,,,0.3803,0.04034
18,Psat1,phosphoserine aminotransferase 1,19,,,1.94E-09,1.402,0.3045,0.861,0.00007966,1.965,,,,,,,,,4.14E-08,1.945,0.965,-0.08687,0.2698,2.351,0.2675,0.6233,7.37E-21,2.693,,,0.007195,2.355,,,,,,,,,0.398,0.511,0.0725,1.992,0.8593,0.34,,,0.4141,-0.3729,0.9996,0.0005993,0.0003024,0.9916,0.001365,0.8077,0.01705,0.4974,0.2659,0.3232,0.5063,0.3656,0.3464,-0.127,0.9018,0.04762,0.5199,-0.1604,0.8169,-0.1189,0.8961,0.0895,0.9317,0.03682,0.8193,-0.04084,0.08591,0.3269,0.1256,0.1537,0.9588,0.005449,0.8716,0.5941,0.9858,0.06276,0.5171,0.3749,0.000002158,0.5164
19,Acaca,acetyl-Coenzyme A carboxylase alpha,19,,,2.17E-09,1.493,0.001921,1.286,1.76E-08,1.682,,,,,,,,,1.18E-08,1.861,0.5046,0.6866,0.002478,2.519,0.9393,-0.07551,0.02341,0.7999,,,0.6777,0.8587,,,,,,,,,0.001218,1.351,0.5896,1.351,0.9399,0.245,,,0.392,0.1826,0.2065,0.9727,0.00007657,1.797,0.0008598,1.053,0.003662,0.6179,0.03829,0.4497,0.1066,0.4198,0.002425,0.3311,0.2976,0.2734,0.7752,0.07687,0.9965,-0.002101,0.8479,0.1148,0.6478,0.07693,0.9446,0.008886,0.1787,0.2646,0.5747,0.03802,0.2246,-0.137,0.9771,-0.3081,0.7465,-0.4197,0.05714,-0.3776,0.006836,-0.1348
20,Atf5,activating transcription factor 5,10,LPS-Related,,0.9802,-0.05977,0.9964,-0.517,0.7951,-0.3092,0.3045,0.7045,0.7714,0.3372,0.9991,-0.1456,0.5756,-0.5128,0.00001459,0.7594,0.8866,-0.2501,0.06122,3.636,0.1553,0.8108,0.03067,1.068,0.03244,1.916,0.7388,0.261,0.9854,0.3471,0.4389,1.111,0.8472,-0.8183,0.9283,-0.1417,0.04904,1.5,0.05956,1.978,0.1823,1.298,0.1871,0.4547,0.06625,0.5275,0.4307,0.354,0.0005324,0.987,0.0008603,1.109,0.4121,0.2916,0.302,0.3347,0.3324,0.4615,0.5951,0.08781,0.3116,0.2869,0.2829,0.2659,0.832,-0.1146,0.7023,0.3039,0.9943,-0.002259,0.01327,0.7579,0.004919,0.9487,0.8569,0.02208,0.7186,0.03092,0.9944,0.0409,0.3157,-0.5512,0.8936,0.04246,0.3219,-0.06444
21,Cenpf,centromere protein F,26,Proliferation,,0.4568,0.4507,0.9992,-0.02004,0.5419,-0.4638,0.9381,-0.3781,0.8759,0.4869,0.9991,-0.5099,0.9145,0.3551,0.24,-0.0903,0.7752,-0.3661,0.6562,-0.6634,0.01891,1.25,0.000003147,1.297,0.9322,0.2039,0.8424,-0.5382,0.9993,-0.1352,0.4543,-2.121,0.9992,-0.5627,0.4283,-1.934,0.00001982,-3.573,0.8128,0.4073,0.000001101,5.839,0.004849,3.172,0.01572,-1.523,1,0,0.000002533,4.703,0.0119,0.4838,0.2215,0.424,0.9044,-0.04831,0.2512,0.4379,0.1526,0.7186,0.8688,-0.04653,0.4778,0.1788,0.6352,0.1917,0.9656,-0.04676,0.7659,-0.08536,0.7419,0.04299,0.08505,-0.3176,0.0005875,-0.6038,2.08E-08,-0.5142,0.9944,-0.08957,0.3442,1.535,0.523,-0.1289,0.03691,-0.1012
22,Olr1,oxidized low density lipoprotein (lectin-like) receptor 1,10,LPS-Related,,0.246,0.9027,0.9992,0.04903,1,0,0.1667,1.827,0.8082,-0.6999,0.9991,0.356,0.04295,-2.171,0.04821,0.3687,0.5506,0.7361,0.3089,1.863,0.8525,0.2869,0.09155,1.097,0.63,1.032,0.8961,0.4672,0.7441,3.634,0.3853,4.676,0.9992,0.4672,0.6972,0.5447,0.1531,1.71,0.0976,3.182,0.8276,0.5523,0.03383,2.349,0.4218,0.7966,0.2887,0.8771,1,0,0.0003606,2.408,0.001113,1.669,0.000000409,3.173,0.0001417,2.117,1,0,0.8748,0.04638,0.7574,0.07136,0.6836,0.1431,0.9679,0.02802,0.6291,0.09158,0.9387,-0.0122,0.9643,0.00676,0.01143,0.4148,0.4511,0.1196,0.8392,0.5957,0.2931,1.127,0.5727,-0.3577,0.761,0.03628
23,Slco4a1,"solute carrier organic anion transporter family, member 4a1",3,,,0.006612,-0.8724,0.6507,-0.6617,0.3792,-0.5456,0.6138,-1.006,0.7628,-1.047,0.9944,1.124,0.5583,1.083,0.000005865,-1.452,0.7036,-0.4606,0.04447,-2.508,0.0001982,-1.602,0.07316,-1.026,0.03244,-2.126,0.395,-0.817,0.9365,-0.6645,0.4263,-2.249,0.9985,-0.5763,0.4296,-2.499,0.179,-0.7478,0.2702,-2.945,0.3578,-1.828,0.003158,-2.262,,,0.974,-0.03088,3.14E-07,-1.752,0.04095,-0.9239,0.2575,-0.2058,0.65,-0.1392,0.1626,-0.3956,0.5992,-0.1845,0.8184,-0.0565,0.6225,-0.1475,0.6562,-0.2247,0.922,0.0819,0.3778,-0.1723,0.01672,-0.3795,0.1033,-0.4193,0.02276,0.4808,5.37E-10,0.9357,0.9998,-0.01246,0.8371,-0.4122,0.3352,0.8816,0.008934,0.665
24,Card11,"caspase recruitment domain family, member 11",28,,,0.01719,1.283,0.9992,-0.1255,0.05686,0.9991,0.8604,0.8972,0.04865,2.218,0.948,-1.781,0.7813,-0.4603,8.14E-07,1.017,0.6966,-0.4881,0.2061,1.692,1,0,0.9713,-0.05372,0.6278,0.9901,0.5401,-1.334,0.9945,-0.7608,0.7668,-0.5611,0.7239,1.794,0.4283,3.83,1.90E-16,-5.235,0.1399,-2.47,0.71,-1.036,0.02775,2.407,,,1,0,0.000008639,3.293,0.1831,0.4063,0.2053,0.3815,0.8857,0.05295,0.4214,0.3188,0.0003017,1.673,0.5803,0.178,0.9663,0.02149,0.8712,0.06265,0.9006,0.07681,0.9589,-0.01626,0.09288,-0.2392,0.2065,-0.2207,0.0001673,0.6552,0.003631,0.2091,0.9986,-0.02074,0.732,-0.3873,,,0.4485,0.0372
25,Nusap1,nucleolar and spindle associated protein 1,26,Proliferation,,0.5608,0.6064,0.667,0.8639,1,0,0.9102,0.374,0.9735,-0.1949,0.9991,0.3257,0.9311,-0.2432,0.6824,0.1154,0.9255,0.1589,1,0,0.8117,0.363,0.9484,0.08068,0.1547,1.213,0.9879,-0.05465,0.9807,-0.7132,0.6787,-1.321,0.9992,0.3556,0.8998,-0.3744,0.1859,1.611,0.9553,0.2043,0.0002211,5.314,0.000267,4.274,0.003691,-1.772,0.6416,-0.5111,2.64E-08,3.501,0.2093,0.5207,0.03079,1.036,0.0414,0.5236,0.05994,0.7973,0.8471,0.07959,0.6592,0.1043,0.8629,-0.07032,0.621,0.2336,0.9423,0.06736,0.7704,-0.06134,0.228,0.1831,0.3523,0.1231,0.7322,-0.05718,0.6266,0.05101,0.9623,0.3754,0.4269,1.15,0.1007,0.2774,0.8849,0.009844
26,E2f8,E2F transcription factor 8,26,Proliferation,LCMV-Specific,0.2946,1.066,0.9992,0.04772,0.9245,0.15,0.2641,1.162,0.4575,1.183,0.9991,-0.4857,0.7923,-0.4649,0.9703,-0.01351,1,0,1,0,0.3408,0.7422,0.8921,-0.1371,0.9059,0.406,0.3246,1.682,0.9826,-0.5165,0.463,-1.551,0.9246,-0.8567,0.4283,-2.216,1,0,0.6861,-0.389,1.05E-07,5.828,0.005801,3.723,0.001217,-1.436,0.9073,0.1096,1.67E-07,3.957,0.01881,0.6407,0.05354,0.6413,0.2102,0.3769,0.1515,0.5399,0.9477,-0.05726,0.723,-0.1018,0.4059,0.2478,0.8127,0.1096,0.9697,-0.03487,0.9415,-0.02723,0.5837,0.1147,0.08356,-0.3577,1,0,0.1692,0.1014,0.987,-0.1052,0.8273,-0.2147,0.5271,0.08095,0.2781,-0.02924
27,Chd9,chromodomain helicase DNA binding protein 9,3,,,0.3527,-0.2942,0.8076,-0.3007,0.3709,-0.4149,0.6753,-0.8851,0.9953,0.05469,0.9991,-0.3837,0.8611,0.5561,0.002418,-0.5921,0.9508,-0.07009,0.000001899,-0.9262,0.01139,-0.6045,0.004015,-0.7519,0.532,-1.358,0.9858,-0.06406,0.9474,0.4462,0.3855,-1.975,0.9992,0.2205,0.4417,-1.384,2.78E-10,-2.172,0.07999,-2.126,0.9689,0.09759,0.0498,-1.498,,,0.6536,0.5845,0.007579,0.5623,0.7311,-0.1862,0.9211,0.04936,0.9016,0.04844,0.9201,0.07918,0.4626,0.1496,0.6891,0.1311,0.8484,0.05825,0.6665,-0.1784,0.9836,0.02467,0.7327,-0.08226,0.4263,0.1186,0.5176,0.1238,0.07917,0.1638,0.4358,0.04956,0.9536,0.2829,0.7027,0.4623,0.2659,0.3329,0.106,0.1072
