Gene name,Average UMI per cell (homeostatic microglia),Fold-change (DAM to homeostatic microglia),-log10(DAM) p-value (Mann-Whitney),DAM FDR p-value
Atf7ip,0.21,-1.670538,1.768251,1.259143
Atg10,0.027353,-0.006757,0.34599,0.351967
Atg12,0.142941,-0.903026,0.82793,0.609549
Atg14,0.055588,-1.238427,1.047557,0.754003
Atg16l1,0.063235,-2.916231,1.869642,1.334489
Atg2b,0.035882,0.530581,0.574776,0.471608
Atg3,0.107647,-0.863559,0.82204,0.606168
Atg4a,0.005588,1.442016,0.661868,0.518121
Atg4c,0.057647,-2.138892,1.848008,1.318043
Atg5,0.082941,0.892083,0.874041,0.638986
Atg7,0.040882,0.413461,0.0958,0.24637
Atic,0.038235,-1.061123,0.258521,0.317434
Atmin,0.255588,-1.13035,1.355642,0.963947
Atn1,0.290882,0.465218,3.46038,2.677128
Atox1,0.208529,1.151854,7.383706,6.269366
Atp10d,0.038824,-1.62747,0.354092,0.355542
Atp11b,0.072941,-1.874307,1.120561,0.803964
Atp11c,0.030294,1.588405,1.513417,1.073007
Atp13a1,0.079118,0.793923,1.712449,1.215116
Atp13a2,0.202059,-0.124599,0.142321,0.268547
Atp13a3,0.160588,-0.116137,0.01494,0.213698
Atp1b3,0.805,0.921377,9.587644,8.371772
Atp2a2,0.327647,-0.247912,0.128156,0.260838
Atp2a3,0.009412,-2.168038,0.34492,0.35261
Atp2b1,0.456765,-1.229721,1.786482,1.268507
Atp2c1,0.321765,-0.923585,0.621559,0.495171
Atp5a1,0.442353,0.257513,1.189308,0.852648
Atp5b,0.389706,0.118397,0.603339,0.487441
Atp5c1,0.229118,0.259906,1.055421,0.758649
Atp5d,0.252647,0.28512,1.989373,1.427309
Atp5e,0.200588,0.971003,4.694729,3.765349
Atp5f1,0.455294,-0.684743,2.116727,1.526819
Atp5g3,0.281176,-0.074551,0.327589,0.350187
Atp5h,0.182353,0.395041,3.715689,2.899541
Atp5j,0.158824,0.19809,2.523169,1.864195
Atp5j2,0.155,1.098642,6.953584,5.86798
Atp5k,0.161176,0.538061,2.420915,1.779432
Atp5o,0.131176,0.283728,0.847319,0.6226
Atp6ap1,0.479118,0.035635,0.294259,0.332467
Atp6ap2,0.440294,-0.652501,0.136277,0.264369
Atp6v0a1,0.194706,-0.538725,0.396358,0.376147
Atp6v0a2,0.334706,-1.366126,5.579401,4.597016
Atp6v0b,0.272941,0.858152,5.619451,4.633923
Atp6v0c,0.188824,1.5362,16.946474,15.382423
Atp6v0d1,0.219118,0.412399,1.430865,1.014362
Atp6v0e,0.243235,0.320128,1.858242,1.32495
Atp6v1a,0.140882,1.110475,4.917557,3.971217
Atp6v1b2,0.169118,-0.027117,0.377144,0.366842
Atp6v1c1,0.140588,1.115971,3.615115,2.812977
Atp6v1d,0.164412,-0.19671,0.061619,0.233708
Atp6v1e1,0.148529,0.273887,0.563761,0.468111
Atp6v1f,0.268235,0.181466,1.997311,1.432861
Atp6v1g1,0.198235,0.229773,3.428526,2.649216
Atp6v1h,0.060294,0.437884,0.719798,0.546617
Atp7a,0.049118,0.343076,0.936338,0.676492
Atp8a1,0.312353,-0.295793,0.027505,0.219677
Atp8b2,0.012941,1.255174,0.032088,0.220543
Atp9b,0.109412,-1.006757,0.371019,0.363602
Atpaf2,0.030882,0.747073,0.296189,0.333699
Atpbd4,0.036176,0.156234,0.090817,0.243764
Atpif1,0.253235,-0.382632,0.082805,0.240314
Atrip,0.201765,-0.713586,0.149669,0.27181
Atrn,0.023529,1.124744,1.599244,1.131624
Atrx,0.300294,-0.704373,1.558587,1.103857
Atxn10,0.166471,1.062343,4.742916,3.811684
Atxn2,0.121176,-1.395107,0.987955,0.71076
Atxn3,0.099412,-1.014328,0.090988,0.243706
Atxn7,0.045588,-0.140382,0.012569,0.213112
Atxn7l1,0.055294,-2.078771,1.130463,0.811607
Atxn7l3b,0.278824,-0.373787,0.657737,0.515651
AU022252,0.025588,-1.523519,0.415241,0.385821
AU040320,0.112647,-1.52042,1.448759,1.02597
Aup1,0.233529,-0.04281,0.121269,0.25754
Aurkaip1,0.055,0.404009,0.365065,0.360623
Avl9,0.074118,-0.637523,0.148458,0.271666
AW112010,0.032941,0.51646,1.219983,0.87426
AW549877,0.085882,0.403689,0.076369,0.237194
AW554918,0.033235,-0.778763,0.595661,0.48386
Axin1,0.037941,-1.179265,0.265269,0.320655
Axl,0.069706,4.290287,48.126161,45.728803
Azi2,0.074118,-0.403851,0.543614,0.456816
Azin1,0.105294,0.749026,2.185068,1.581413
B230206F22Rik,0.001176,NaN,0.341113,0.351465
B230208H17Rik,0.107647,-0.454919,0.109513,0.251936
B230219D22Rik,0.275,-1.076859,2.591163,1.919615
B230354K17Rik,0.095,-2.374145,2.232413,1.620829
B230378P21Rik,0.048235,0.118266,0.004474,0.210396
B2m,7.072353,1.374797,59.855107,57.156719
B330016D10Rik,0.017353,NaN,1.032198,0.74332
B3galnt1,0.08,0.479209,0.579702,0.473491
B3galt5,0.089118,-1.553231,0.608414,0.488665
B3galtl,0.078529,-0.309871,0.132756,0.262786
B3gat3,0.058235,0.620458,0.867053,0.634791
B3gnt1,0.155294,-0.85488,1.660206,1.176993
B3gnt2,0.095882,-0.024913,0.458765,0.410563
B3gntl1,0.001765,NaN,0.711839,0.543811
B4galt1,0.387647,-0.913787,1.659107,1.176225
B4galt3,0.055588,-0.847637,0.760273,0.569403
B4galt4,0.240882,-1.58837,4.966401,4.01523
B4galt5,0.079118,-1.484613,0.780021,0.581148
B4galt6,0.250588,-1.237412,2.105003,1.518465
B4galt7,0.032941,-1.805468,0.095296,0.246097
B630005N14Rik,0.101176,-0.761413,1.337781,0.952469
Baat1,0.047647,-0.318063,0.04743,0.226845
Bach1,0.200294,0.134697,0.11059,0.252543
Bach2,0.119412,-1.341521,0.949713,0.681279
Bad,0.037647,-0.123644,0.185581,0.281071
Bag1,0.145294,0.997337,4.520284,3.610771
Bag3,0.084412,-1.066158,0.287002,0.330356
Bag5,0.048824,-0.565797,0.039624,0.223119
Bag6,0.170588,-0.030534,0.085456,0.241222
Bahcc1,0.025,-1.577429,0.187452,0.281105
Bahd1,0.047647,-1.337963,0.610218,0.489465
Baiap2l2,0.009706,4.977393,21.453261,19.684292
Banf1,0.063235,0.476087,1.895134,1.355109
Bank1,0.136765,NaN,5.622169,4.635588
Banp,0.048529,-2.364435,1.720914,1.221527
Bap1,0.064706,-0.103908,0.009622,0.21201
Basp1,1.770294,-0.629928,4.523632,3.61235
Bax,0.076765,-0.509443,0.129862,0.261742
Baz1a,0.114118,-0.802166,1.176523,0.845025
Baz1b,0.178824,-0.256094,0.478952,0.423523
Baz2a,0.086471,-0.975393,0.340485,0.354115
Baz2b,0.162059,-1.251579,1.068228,0.765822
Bbip1,0.058529,0.053318,0.038641,0.222778
Bbs12,0.017059,-0.382163,0.063506,0.234497
Bbs9,0.089412,-1.328503,0.93959,0.677762
Bbx,0.119706,-0.647098,0.140699,0.267493
BC002230,0.028235,NaN,1.334564,0.951096
BC003266,0.026765,1.024607,1.293826,0.922541
BC003331,0.083824,-0.636355,0.536306,0.454262
BC003965,0.062353,-0.101542,0.591795,0.480838
BC004004,0.184118,-0.096113,0.440942,0.400207
BC005537,0.361176,-0.288026,0.089868,0.243807
BC005561,0.055,-3.714932,1.609872,1.139049
BC005624,0.059118,-0.024674,0.291026,0.331518
BC013529,0.155,-0.502338,0.067745,0.235571
BC013712,0.267941,-1.799673,2.430845,1.788409
BC016423,0.037059,-2.560355,0.803772,0.594463
BC017158,0.049412,-0.88793,0.307375,0.340274
BC017643,0.257941,-1.055728,0.653946,0.513666
BC017647,0.047941,-0.107375,0.318111,0.346043
BC018507,0.061471,-0.535547,0.402978,0.380597
BC023719,0.023529,-0.735078,0.443759,0.401469
BC023829,0.047647,0.061968,0.151624,0.272616
BC024479,0.031765,-4.922925,1.083078,0.774299
BC024582,0.025588,-0.026019,0.268198,0.321282
BC028528,0.103824,0.305076,0.741688,0.557349
BC029722,0.029118,1.300638,1.60391,1.135651
BC030336,0.066471,-1.778763,1.27758,0.911378
BC031181,0.209706,-0.170063,0.505467,0.435724
BC031781,0.031765,0.185599,0.642138,0.507379
BC032203,0.11,-0.457545,0.34707,0.352296
BC035044,0.272059,-2.377491,6.112462,5.094183
BC037034,0.223824,-1.169935,1.344462,0.957033
BC042782,0.003235,-1.042507,0.034305,0.220783
BC046404,0.081471,-1.28178,0.258118,0.317221
BC068157,0,NaN,NaN,NaN
Bcap29,0.158824,-0.189571,0.076087,0.236988
Bcap31,0.285588,0.394464,1.145642,0.822917
Bcas1,0,NaN,NaN,NaN
Bcas2,0.097647,-0.828832,0.719498,0.546479
Bcas3,0.037353,-1.764405,0.573666,0.471737
Bcdin3d,0.045588,0.0794,0.931724,0.674638
Bckdha,0.108529,-0.981269,1.546365,1.094414
Bckdk,0.038824,0.279421,0.591277,0.4806
Bcl10,0.149706,-0.494224,0.108775,0.251747
Bcl2,0.066471,0.429636,2.75436,2.060294
Bcl2a1b,0.106471,2.12165,16.197504,14.660484
Bcl2l1,0.145588,-0.286433,0.36049,0.357803
Bcl2l11,0.074118,-0.669584,0.856196,0.627998
Bcl2l12,0.014118,-1.753,0.412803,0.385357
Bcl2l13,0.074706,-0.349368,0.155501,0.274926
Bcl6,0.045,-0.697505,0.686708,0.531145
Bcl7a,0.033824,-2.6916,0.165403,0.27607
Bcl7b,0.106471,-0.559359,0.292466,0.331469
Bcl9,0.078235,-2.31643,1.790069,1.271377
Bcl9l,0.069706,-1.59735,1.243141,0.886929
Bclaf1,0.239118,-0.568363,0.946166,0.679543
Bco2,0.073824,-0.139581,0.602836,0.487363
Bcorl1,0.013529,0.593802,0.941089,0.678466
Bcr,0.042059,-1.935592,0.001243,0.209258
Bdp1,0.064412,-0.048007,0.028716,0.21984
Becn1,0.100882,0.024607,0.790776,0.587759
Bend6,0.051176,-3.441056,1.609872,1.139371
Bend7,0,NaN,0.73654,0.554357
Bet1,0.075882,-1.00934,0.19773,0.28627
Bet1l,0.083824,-0.930539,0.727137,0.551519
Bfar,0.173529,-1.050681,1.141307,0.819952
Bhlhb9,0.046765,-1.62294,0.602479,0.487148
Bhlhe41,0.548235,-0.110383,0.947091,0.679261
Bicd2,0.127941,-0.694505,0.219651,0.299595
Bid,0.087059,-0.446754,0.447346,0.403616
Bin1,1.485882,-1.170324,9.606739,8.387278
Bin2,0.073235,-1.735722,0.828024,0.609463
Bin3,0.036471,1.507122,0.419751,0.388699
Birc2,0.043824,-1.065278,0.338439,0.354171
Birc3,0.066471,-1.233329,0.41889,0.387955
Birc5,0.002941,3.795436,1.40189,0.993258
Birc6,0.221176,-0.651164,0.278367,0.326418
Bivm,0.024412,-0.958115,0.171457,0.274901
Blmh,0.08,-1.105754,0.419834,0.388665
Blnk,0.417353,-0.350984,0.194207,0.284076
Bloc1s1,0.058529,1.288095,4.239033,3.358541
Bloc1s2,0.015,1.066427,0.300023,0.336534
Blvra,0.082353,0.287642,0.010699,0.212542
Blvrb,0.056765,-0.420645,0.311731,0.34352
Bmf,0.259706,-1.454462,3.399971,2.624567
Bmi1,0.096765,-1.038129,0.17013,0.274943
Bmp2k,1.176471,-0.94647,4.784759,3.846982
Bmpr1a,0.061471,-0.068042,0.825004,0.608059
Bmpr2,0.095,-1.060485,0.994196,0.715351
Bmyc,0.226471,-0.183105,0.342047,0.351761
Bnip2,0.304706,-1.140452,1.023088,0.73674
Bnip3,0.060294,-0.161017,0.571964,0.470996
Bnip3l,0.210882,-0.274489,0.003426,0.209956
Bod1l,0.145,-0.476857,0.380631,0.368432
Bola2,0.085,1.665465,5.856566,4.851685
Bop1,0.031176,-1.141071,0.542881,0.456349
Bpgm,0.017941,0.783868,0.174846,0.27554
Bptf,0.238824,-1.511446,2.572324,1.904839
Braf,0.078529,-1.980806,1.310497,0.935103
Brap,0.07,-0.255501,0.378014,0.36682
Brca2,0.019706,-2.649165,0.340858,0.353749
Brcc3,0.023529,1.251501,0.758989,0.568962
Brd1,0.097059,-1.489966,0.458705,0.410624
Brd2,0.310294,-1.268551,2.019028,1.449766
Brd3,0.149706,-0.775855,0.877137,0.639082
Brd4,0.273235,-0.348093,0.058403,0.232171
Brd7,0.132941,-0.149013,0.433313,0.396145
Brd8,0.108529,-1.486062,0.714012,0.54422
Brd9,0.062353,-0.787434,0.16782,0.275018
Bre,0.075,-0.533035,0.040756,0.223182
Brf1,0.057353,-0.54655,0.106618,0.250292
Brix1,0.054706,-0.403416,0.336144,0.353655
Brms1,0.042059,-1.005981,0.236597,0.309153
Brp44,0.131471,-0.197382,0.593736,0.482357
Brpf1,0.107941,-0.14078,0.019005,0.215486
Brwd1,0.107353,-0.245162,0.116191,0.255628
Bscl2,0.175588,0.2214,1.494271,1.059519
Bsg,0.603824,0.34808,2.33128,1.701542
Bst2,0.123529,1.00646,7.93628,6.809018
Btaf1,0.053824,0.800078,0.665937,0.520065
Btbd2,0.040882,-1.077526,0.256801,0.317041
Btbd3,0.023235,0.020034,0.071109,0.235225
Btbd7,0.018824,0.475818,0.22725,0.30347
Btbd9,0.065588,-1.383975,0.805507,0.595493
Btf3l4,0.067059,-1.142947,0.728242,0.551808
Btg1,0.25,-0.675355,1.428737,1.012801
Btg2,0.432059,-1.034021,6.199032,5.173896
Btrc,0.022647,-1.042507,0.050036,0.227649
Bub3,0.133824,-1.489966,1.174168,0.844299
Bud31,0.160588,-0.434247,0.343971,0.352407
Bzw1,0.128824,-0.648204,0.740576,0.556735
C130022K22Rik,0.067353,-1.64969,1.166146,0.838363
C130039O16Rik,0.106176,-1.709697,1.752263,1.246651
C1d,0.051765,-1.103908,0.338363,0.3542
C1galt1,0.04,-1.500613,0.002907,0.209707
C1galt1c1,0.110882,-0.342754,0.222996,0.301491
C1qa,8.280882,-0.215596,3.481972,2.696072
C1qb,7.437353,-0.49408,9.344025,8.142221
C1qbp,0.099118,0.114837,0.671732,0.522807
C1qc,5.916471,-0.467267,9.954291,8.712648
C1rl,0.061471,-3.415965,1.342066,0.955697
C230052I12Rik,0.021176,-1.753,0.671032,0.522719
C230081A13Rik,0.106471,-1.144322,0.641231,0.507065
C230096C10Rik,0.095,0.823001,1.104412,0.791183
C2cd2,0.070294,-0.396479,0.447236,0.403746
C2cd2l,0.062353,-1.252102,0.121637,0.25767
C2cd3,0.029118,0.831962,0.689743,0.532778
C330018D20Rik,0.031471,0.59829,0.150845,0.27233
C330019G07Rik,0.098529,-0.243172,0.380991,0.368568
C3ar1,0.641765,0.529245,4.163837,3.293948
C5ar1,0.064412,0.500119,0.953389,0.683945
C78339,0.047647,0.150324,0.912031,0.664085
C85492,0.026176,-3.643771,0.645131,0.508143
C87436,0.056176,0.112514,0.41371,0.38522
Cab39,0.215588,-1.056351,0.877583,0.639341
Cabin1,0.114412,-0.591755,0.149968,0.272028
Cables1,0.382059,-0.341299,0.486393,0.427243
Cables2,0.046471,-1.342536,0.081144,0.239485
